BBG004S68758|Башнефть
BBG004TC84Z8|ТрубнаяМеталлургическаяКомпания
BBG004730JJ5|МосковскаяБиржа
BBG004S686N0|Башнефть—привилегированныеакции
BBG008F2T3T2|РУСАЛ
BBG000RJL816|Таттелеком
BBG000VKG4R5|МРСКУрала
BBG004731489|Норильскийникель
BBG000TJ6F42|МРСКСеверо-Запада
BBG000Q7GG57|ТГК-2
BBG0029SFXB3|ПАО«КАЗАНЬОРГСИНТЕЗ»
BBG004S687G6|МОЭСК
BBG005D1WCQ1|QIWI
BBG000FWGSZ5|КорпорацияИРКУТ
BBG000N16BP3|ИСКЧ
BBG004S686W0|Юнипро
BBG004S68FR6|Мечел—Привилегированныеакции
BBG0029SG1C1|ПАО«КАЗАНЬОРГСИНТЕЗ»—акциипривилегированные
BBG000NLC9Z6|Ленэнерго
BBG00475K2X9|РусГидро
BBG004S685M3|Ростелеком—Привилегированныеакции
BBG006L8G4H1|Yandex
BBG004S68614|АФКСистема
BBG000BX7DH0|ТНСэнергоВоронеж
BBG004730ZJ9|БанкВТБ
BBG004731354|Роснефть
BBG000GQSRR5|Нижнекамскнефтехим
BBG000RMWQD4|En+Group
BBG000RP8V70|ЧМК
BBG00475JZZ6|ФСКЕЭС
BBG004730RP0|Газпром
BBG000NLHR27|БанкВозрождение—акциипривилегированные
BBG002B2J5X0|СаратовскийНПЗ—акциипривилегированные
BBG004S68696|Распадская
BBG000K3STR7|Аптечнаясеть36,6
BBG00475K6C3|Северсталь
BBG001M2SC01|EtalonGroupPLC
BBG000KTF667|Российскиесети—акциипривилегированные
BBG0014PFYM2|Русгрэйн
BBG0047315Y7|СбербанкРоссии—привилегированныеакции
BBG00VPKLPX4|PetropavlovskPLC
BBG000PKWCQ7|МРСКВолги
BBG000Q49F45|ЧТПЗ
BBG000QW1WH0|Кузбасскаятопливнаякомпания
BBG004S68B31|АЛРОСА
BBG002458LF8|Селигдар
BBG000RTHVK7|ГруппаЧеркизово
BBG000W325F7|Русскаяаквакультура
BBG004S687W8|Мосэнерго
BBG004S68829|Татнефть—привилегированныеакции
